episode,return,length
992,161.31201583711473,175
993,164.92384275725976,186
994,166.29201483448418,174
995,164.83818339400497,178
996,162.4704354970133,174
997,166.30471346337774,192
998,163.29976464329874,174
999,159.70143040618467,201
1000,156.0514054747671,189
1001,164.57296118546293,169
1002,165.1967986896956,201
1003,152.63852180396316,196
1004,154.01533598556355,175
1005,154.88048074944658,194
1006,160.67562189570458,196
1007,162.35108295017798,181
1008,163.80394345368384,204
1009,157.51258973014058,193
1010,156.08112448306255,170
1011,167.22133925045375,201
1012,156.77687325866845,193
1013,158.73530143884958,169
1014,160.31469526120975,177
1015,164.1861297400481,176
1016,162.31455894203356,187
1017,163.72358133196164,172
1018,160.15757019478065,176
1019,162.7974803337651,201
1020,156.86693641675777,189
1021,163.3239821654739,195
1022,163.20876026057158,198
1023,165.7180765300083,181
1024,161.11205270722147,197
1025,166.17206272103184,206
1026,165.01997401812037,170
1027,163.10723132686363,199
1028,156.85140778153166,171
1029,162.34397147876513,174
1030,159.2615264525213,192
1031,160.90166712691448,169
1032,157.51562567376754,192
1033,159.08595201130257,200
1034,167.1163045078269,180
1035,160.4175695156762,198
1036,161.85671286233168,198
1037,164.78331715865804,169
1038,160.49394101296357,196
1039,164.2089485227094,198
1040,161.20027546907195,199
1041,159.26152634911057,191
1042,166.87371507916683,181
1043,161.04635255149515,194
1044,159.14063335190383,198
1045,158.9005359415342,204
1046,156.53689846842184,191
1047,157.33760766202377,169
1048,159.03690846236955,190
1049,163.17652556276087,201
1050,166.10449617400823,196
1051,158.00664821764528,207
1052,164.77393549447163,185
1053,159.33563028851825,171
1054,155.70869827365985,203
1055,157.1230604818143,177
1056,163.5895454767431,170
1057,156.5531502164651,195
